01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
77,24,25,26,19,11,32,37,28,23,113,106,306,150,37,13,18,8,6,16,43,70,143,26,27,49,291,131,31,20,4,8,26,35,30,7,21,23,12,99,19,35,31,9,12,45,24,Feb-03
79,42,12,14,20,14,30,37,35,23,114,124,318,152,31,12,27,11,10,22,37,59,174,29,23,70,300,136,19,24,10,10,40,37,27,18,18,28,12,98,13,24,27,25,19,43,26,Mar-03
94,19,15,26,10,13,21,58,25,35,126,116,353,177,44,15,14,11,11,23,57,86,155,29,20,62,358,139,36,13,7,11,27,54,46,16,24,25,21,121,22,38,28,24,21,40,30,Apr-03
81,29,20,37,26,14,26,47,25,31,148,139,374,185,39,23,21,17,8,16,53,78,164,56,21,75,355,166,33,27,10,12,32,52,30,7,21,30,13,112,19,43,22,28,13,41,33,May-03
92,28,21,44,18,14,23,55,36,30,128,136,402,175,38,21,24,22,13,30,49,72,210,42,29,68,350,148,36,22,12,17,31,54,51,25,24,27,22,126,12,56,43,18,25,31,29,Jun-03
83,35,24,32,18,13,36,57,40,42,158,128,384,201,44,19,20,13,6,24,42,69,179,38,20,78,356,162,29,25,7,11,26,44,28,20,23,31,22,141,16,35,37,28,25,41,23,Jul-03
90,26,21,29,13,23,42,55,38,26,137,132,337,146,40,22,18,14,10,21,66,76,175,24,21,64,313,180,34,27,13,16,29,40,29,19,24,17,18,111,17,35,34,25,22,25,20,Aug-03
69,26,21,47,9,13,35,66,24,31,134,115,304,168,32,16,13,15,9,25,46,68,153,38,18,71,309,133,35,27,16,15,29,37,17,19,20,14,14,124,17,40,37,20,19,31,34,Sep-03
88,33,28,41,24,19,34,62,35,29,127,116,308,165,29,23,20,13,10,22,51,82,159,38,20,58,349,171,28,25,9,9,36,30,25,26,22,24,15,126,21,30,50,35,19,40,35,Oct-03
62,28,10,26,7,23,32,62,21,26,113,97,298,147,41,14,20,13,9,20,48,70,127,32,32,64,286,121,32,27,7,13,36,37,33,16,11,20,13,106,14,39,25,17,17,27,23,Nov-03
63,24,21,38,10,10,31,49,23,26,122,100,363,151,34,19,25,12,13,18,43,59,164,27,22,67,302,125,33,21,11,17,30,30,31,14,27,23,18,132,13,45,28,28,16,33,29,Dec-03
78,34,12,34,12,10,19,53,20,15,94,98,281,148,33,21,19,12,9,14,47,52,156,24,20,55,281,127,31,20,9,17,36,56,26,12,22,18,11,116,14,25,42,16,16,28,33,Jan-04
66,18,16,32,14,11,27,42,32,32,104,98,320,144,36,22,9,6,6,19,43,50,129,16,22,51,280,115,23,17,2,9,31,39,19,16,25,18,16,112,19,32,28,18,18,35,20,Feb-04
83,27,23,25,15,12,24,62,25,28,116,121,303,161,30,16,21,14,7,17,40,71,186,35,18,58,301,126,37,26,16,7,39,55,19,11,26,28,23,97,20,39,34,38,25,48,45,Mar-04
